voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
4,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
25,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
8,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
87,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
45,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
36,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
43,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
90,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
77,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
16,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
53,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
93,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
82,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
28,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
24,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
14,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
76,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
59,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
63,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
57,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
91,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
32,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
58,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
73,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
99,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
35,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
83,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
44,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
1,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
5,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
80,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
7,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
60,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
33,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
54,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
10,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
27,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
40,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
49,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
48,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
98,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
95,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
46,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
34,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
89,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
6,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
38,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
84,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
72,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
31,maria,raul,raul,maria,raul,"[0,1,1,0,1]",0.60,medium
18,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
30,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
70,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
62,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
26,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
69,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
50,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
20,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
100,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
23,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
12,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
21,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
29,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
39,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
67,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
19,maria,raul,maria,raul,raul,"[0,1,0,1,1]",0.60,medium
47,raul,maria,raul,raul,maria,"[1,0,1,1,0]",0.60,medium
66,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
51,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
86,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
55,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
94,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
68,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
79,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
81,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
96,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
56,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
37,raul,maria,raul,raul,maria,"[1,0,1,1,0]",0.60,medium
64,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
22,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
61,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
11,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
92,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
9,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
42,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
41,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
13,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
74,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
88,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
52,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
65,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
2,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
85,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
75,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
97,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
71,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
3,raul,maria,raul,raul,maria,"[1,0,1,1,0]",0.60,medium
78,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
15,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
17,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
