voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
98,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
89,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
28,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
26,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
13,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
41,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
53,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
92,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
24,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
10,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
5,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
38,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
83,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
45,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
93,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
62,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
77,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
70,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
20,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
88,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
80,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
6,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
11,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
27,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
58,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
73,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
49,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
40,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
60,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
78,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
18,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
57,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
21,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
14,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
23,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
81,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
3,maria,maria,maria,maria,raul,"[0,0,0,0,1]",0.80,high
31,raul,raul,raul,raul,maria,"[1,1,1,1,0]",0.80,high
15,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
17,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
99,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
9,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
46,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
63,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
44,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
43,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
71,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
54,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
91,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
19,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
66,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
37,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
42,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
39,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
79,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
100,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
94,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
29,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
85,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
25,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
7,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
1,maria,maria,maria,maria,raul,"[0,0,0,0,1]",0.80,high
55,raul,raul,raul,raul,maria,"[1,1,1,1,0]",0.80,high
35,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
2,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
16,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
48,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
90,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
33,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
76,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
52,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
56,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
75,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
