voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
85,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
24,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
81,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
26,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
93,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
44,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
97,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
32,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
63,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
91,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
49,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
55,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
84,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
76,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
2,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
79,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
6,unknown,cantwell,unknown,unknown,unknown,"[2,0,2,2,2]",0.60,medium
28,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
22,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
89,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
92,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
86,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
42,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
35,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
25,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
30,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
29,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
8,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
5,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
65,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
68,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
1,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
37,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
21,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
10,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
31,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
27,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
57,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
51,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
100,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
54,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
36,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
15,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
80,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
9,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
69,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
18,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
