voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
28,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
14,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
41,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
50,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
25,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
36,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
72,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
34,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
4,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
35,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
54,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
27,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
39,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
84,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
76,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
31,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
87,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
51,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
75,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
95,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
69,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
85,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
67,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
57,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
88,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
89,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
47,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
10,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
11,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
8,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
59,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
61,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
38,raul,raul,maria,raul,raul,"[1,1,0,1,1]",0.80,high
6,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
83,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
3,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
29,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
7,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
94,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
12,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
63,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
98,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
96,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
82,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
19,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
15,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
9,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
62,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
71,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
18,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
68,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
