voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
63,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
100,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
67,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
86,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
56,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
66,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
80,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
64,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
41,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
78,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
89,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
12,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
42,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
3,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
46,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
48,trump,kamala,kamala,kamala,trump,"[1,0,0,0,1]",0.60,medium
2,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
59,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
91,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
15,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
94,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
71,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
87,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
9,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
99,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
95,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
28,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
