voter_id,supreme_court_0,supreme_court_1,supreme_court_2,supreme_court_3,supreme_court_4,stability,stability_score,consistency_level
33,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
48,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
4,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
70,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
2,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
37,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
91,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
93,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
22,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
89,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
9,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
64,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
43,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
3,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
15,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
85,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
6,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
12,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
5,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
26,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
50,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
14,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
95,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
92,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
29,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
81,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
49,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
99,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
36,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
87,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
30,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
71,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
60,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
69,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
73,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
21,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
88,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
32,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
53,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
75,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
25,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
58,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
84,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
76,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
18,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
