voter_id,religion_government_0,religion_government_1,religion_government_2,religion_government_3,religion_government_4,stability,stability_score,consistency_level
53,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
24,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
15,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
69,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
13,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
56,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
79,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
29,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
12,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
96,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
66,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
20,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
2,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
4,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
100,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
70,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
65,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
97,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
49,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
34,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
98,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
76,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
35,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
81,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
14,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
83,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
71,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
8,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
51,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
1,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
78,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
59,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
68,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
72,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
57,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
9,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
47,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
52,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
32,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
26,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
75,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
22,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
21,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
74,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
64,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
48,a,b,b,a,a,"[0,1,1,0,0]",0.60,medium
42,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
91,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
63,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
55,a,b,a,a,a,"[0,1,0,0,0]",0.80,high
11,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
80,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
85,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
54,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
67,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
23,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
87,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
61,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
46,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
73,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
62,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
30,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
84,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
94,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
82,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
25,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
38,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
86,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
43,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
7,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
19,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
18,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
92,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
40,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
39,a,a,b,a,a,"[0,0,1,0,0]",0.80,high
16,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
17,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
93,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
50,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
45,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
5,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
90,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
44,a,b,a,a,a,"[0,1,0,0,0]",0.80,high
3,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
58,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
37,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
33,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
6,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
10,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
99,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
41,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
31,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
89,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
60,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
36,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
27,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
88,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
