voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
87,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
48,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
1,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
98,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
12,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
64,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
14,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
58,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
43,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
7,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
49,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
77,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
65,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
42,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
29,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
38,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
41,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
61,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
100,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
96,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
73,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
57,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
24,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
45,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
15,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
23,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
37,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
80,trump,kamala,kamala,trump,trump,"[1,0,0,1,1]",0.60,medium
94,kamala,trump,kamala,kamala,trump,"[0,1,0,0,1]",0.60,medium
93,kamala,kamala,trump,kamala,kamala,"[0,0,1,0,0]",0.80,high
28,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
16,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
86,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
35,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
3,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
50,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
2,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
47,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
70,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
18,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
59,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
78,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
51,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
60,kamala,kamala,trump,kamala,kamala,"[0,0,1,0,0]",0.80,high
5,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
31,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
