voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
33,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
79,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
58,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
27,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
53,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
74,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
88,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
40,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
2,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
29,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
78,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
24,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
6,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
99,trump,kamala,trump,kamala,trump,"[1,0,1,0,1]",0.60,medium
10,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
93,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
38,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
4,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
96,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
8,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
11,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
72,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
65,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
63,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
23,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
75,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
80,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
