voter_id,what_party_0,what_party_1,what_party_2,what_party_3,what_party_4,stability,stability_score,consistency_level
38,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
75,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
32,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
84,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
23,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
56,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
22,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
58,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
89,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
28,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
3,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
35,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
48,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
91,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
63,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
79,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
82,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
100,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
19,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
76,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
71,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
92,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
31,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
18,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
90,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
8,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
41,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
16,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
73,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
95,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
51,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
78,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
61,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
44,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
70,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
94,republican,democrat,democrat,republican,democrat,"[1,0,0,1,0]",0.60,medium
9,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
30,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
42,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
55,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
97,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
33,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
10,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
14,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
2,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
65,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
12,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
77,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
72,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
68,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
99,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
6,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
29,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
36,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
27,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
50,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
86,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
57,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
67,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
20,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
46,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
45,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
21,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
17,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
96,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
26,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
98,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
25,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
64,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
34,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
43,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
88,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
87,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
81,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
5,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
74,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
93,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
59,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
47,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
62,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
24,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
13,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
11,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
40,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
53,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
7,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
1,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
69,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
39,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
60,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
83,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
15,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
37,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
54,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
85,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
52,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
4,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
66,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
