voter_id,attorney_general_0,attorney_general_1,attorney_general_2,attorney_general_3,attorney_general_4,stability,stability_score,consistency_level
96,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
55,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
52,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
85,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
10,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
51,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
56,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
12,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
87,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
71,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
24,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
5,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
31,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
97,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
35,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
25,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
21,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
67,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
14,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
42,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
64,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
84,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
40,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
83,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
80,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
37,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
66,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
72,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
15,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
65,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
43,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
91,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
7,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.60,medium
27,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
1,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
36,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
11,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
45,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
46,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
86,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
92,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
13,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
53,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
100,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
44,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
23,nick,pete,nick,pete,nick,"[0,1,0,1,0]",0.40,low
41,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
93,pete,nick,pete,nick,pete,"[1,0,1,0,1]",0.40,low
98,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
30,nick,,nick,nick,nick,"[0,-1,0,0,0]",0.60,medium
33,nick,nick,,nick,nick,"[0,0,-1,0,0]",0.60,medium
76,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
22,unknown,,,unknown,nick,"[2,-1,-1,2,0]",0.20,low
39,nick,pete,nick,pete,,"[0,1,0,1,-1]",0.20,low
73,unknown,pete,pete,pete,pete,"[2,1,1,1,1]",0.60,medium
60,unknown,unknown,pete,unknown,pete,"[2,2,1,2,1]",0.40,low
17,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
89,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
77,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
6,pete,pete,pete,nick,pete,"[1,1,1,0,1]",0.60,medium
79,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
34,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
54,unknown,unknown,unknown,unknown,pete,"[2,2,2,2,1]",0.60,medium
49,pete,unknown,pete,pete,pete,"[1,2,1,1,1]",0.60,medium
50,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
78,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
90,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
48,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
28,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
